canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,One Day,Middle,2,372,8,248,221,22,14,62.0,31.0,4.0,46.5,59.40860215053763,5.913978494623656
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,One Day,Death,3,157,5,146,66,12,10,26.1,29.2,5.579617834394904,31.4,42.038216560509554,7.643312101910828
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,T20,Opening,1,10,1,17,4,3,1,1.4,17.0,10.2,10.0,40.0,30.0
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,T20,Death,3,10,1,17,3,2,1,1.4,17.0,10.2,10.0,30.0,20.0
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,Two Day,New Ball,1,6,0,2,5,0,1,1.0,,2.0,,83.33333333333333,0.0
raw_540b9415_3694_4168_9f1c_26a36e87114e,Tanuj Namalge,Tanuj Namalge,Two Day,Older Ball,2,471,11,172,381,21,9,78.3,15.636363636363637,2.1910828025477707,42.81818181818182,80.89171974522293,4.45859872611465
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,One Day,Opening,1,312,7,174,230,22,17,52.0,24.857142857142858,3.3461538461538463,44.57142857142857,73.71794871794872,7.051282051282051
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,One Day,Middle,2,168,2,113,111,14,9,28.0,56.5,4.035714285714286,84.0,66.07142857142857,8.333333333333334
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,One Day,Death,3,287,14,212,165,22,16,47.5,15.142857142857142,4.43205574912892,20.5,57.491289198606275,7.665505226480836
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,T20,Opening,1,72,6,53,45,7,6,12.0,8.833333333333334,4.416666666666667,12.0,62.5,9.722222222222221
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,T20,Middle,2,36,1,47,15,8,5,6.0,47.0,7.833333333333333,36.0,41.666666666666664,22.22222222222222
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,T20,Death,3,24,1,32,6,3,4,4.0,32.0,8.0,24.0,25.0,12.5
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,Two Day,New Ball,1,42,0,39,27,7,3,7.0,,5.571428571428571,,64.28571428571429,16.666666666666668
raw_7796132e_164e_4206_a7f2_c4f6f21b1a2a,Tanuj Rajarathna,Tanuj Rajarathna,Two Day,Older Ball,2,460,14,248,326,26,6,76.4,17.714285714285715,3.234782608695652,32.857142857142854,70.8695652173913,5.6521739130434785
raw_cc538df9_982b_42f3_8310_ad60d4085c60,Tanveer Kaur Mann,Tanveer Kaur Mann,One Day,Opening,1,12,1,7,8,1,2,2.0,7.0,3.5,12.0,66.66666666666667,8.333333333333334
raw_cc538df9_982b_42f3_8310_ad60d4085c60,Tanveer Kaur Mann,Tanveer Kaur Mann,Two Day,New Ball,1,30,0,11,20,0,4,5.0,,2.2,,66.66666666666667,0.0
raw_cc538df9_982b_42f3_8310_ad60d4085c60,Tanveer Kaur Mann,Tanveer Kaur Mann,Two Day,Older Ball,2,42,4,27,22,2,4,7.0,6.75,3.857142857142857,10.5,52.38095238095238,4.761904761904762
raw_eb44b438_7508_4791_a201_172888a83cd1,Thomas Furlong,Thomas Furlong,One Day,Opening,1,36,0,21,23,2,3,6.0,,3.5,,63.888888888888886,5.555555555555555
raw_1c292536_3d98_4599_ae10_45cd1a43772d,Thomas Giles,Thomas Giles,One Day,Opening,1,36,1,40,23,9,3,6.0,40.0,6.666666666666667,36.0,63.888888888888886,25.0
raw_bbb0dca5_597d_4526_a4ac_035df0fca500,Thomas Giles,Thomas Giles,One Day,Opening,1,18,1,6,13,0,2,3.0,6.0,2.0,18.0,72.22222222222223,0.0
raw_1c292536_3d98_4599_ae10_45cd1a43772d,Thomas Giles,Thomas Giles,One Day,Middle,2,30,2,26,13,1,3,5.0,13.0,5.2,15.0,43.333333333333336,3.3333333333333335
raw_bbb0dca5_597d_4526_a4ac_035df0fca500,Thomas Giles,Thomas Giles,One Day,Middle,2,101,4,65,61,4,9,16.5,16.25,3.8613861386138613,25.25,60.396039603960396,3.9603960396039604
raw_1c292536_3d98_4599_ae10_45cd1a43772d,Thomas Giles,Thomas Giles,Two Day,New Ball,1,42,1,25,32,4,2,7.0,25.0,3.5714285714285716,42.0,76.19047619047619,9.523809523809524
raw_bbb0dca5_597d_4526_a4ac_035df0fca500,Thomas Giles,Thomas Giles,Two Day,New Ball,1,12,0,5,10,0,2,2.0,,2.5,,83.33333333333333,0.0
raw_1c292536_3d98_4599_ae10_45cd1a43772d,Thomas Giles,Thomas Giles,Two Day,Older Ball,2,18,1,10,10,0,2,3.0,10.0,3.3333333333333335,18.0,55.55555555555556,0.0
raw_bbb0dca5_597d_4526_a4ac_035df0fca500,Thomas Giles,Thomas Giles,Two Day,Older Ball,2,24,0,8,19,1,2,4.0,,2.0,,79.16666666666667,4.166666666666667
raw_63bb99ea_70dd_4679_bfad_06b8192758f6,Thomas Killeen,Thomas Killeen,One Day,Opening,1,150,2,85,91,7,17,25.0,42.5,3.4,75.0,60.666666666666664,4.666666666666667
raw_8f6317c9_6d82_4de5_80e5_8e349fb82af9,Thomas Killeen,Thomas Killeen,One Day,Opening,1,20,0,21,9,3,2,3.2,,6.3,,45.0,15.0
raw_63bb99ea_70dd_4679_bfad_06b8192758f6,Thomas Killeen,Thomas Killeen,One Day,Middle,2,95,1,79,54,9,12,15.5,79.0,4.989473684210527,95.0,56.8421052631579,9.473684210526315
raw_8f6317c9_6d82_4de5_80e5_8e349fb82af9,Thomas Killeen,Thomas Killeen,One Day,Middle,2,12,1,2,10,0,2,2.0,2.0,1.0,12.0,83.33333333333333,0.0
raw_63bb99ea_70dd_4679_bfad_06b8192758f6,Thomas Killeen,Thomas Killeen,Two Day,New Ball,1,54,1,16,43,1,5,9.0,16.0,1.7777777777777777,54.0,79.62962962962963,1.8518518518518519
raw_63bb99ea_70dd_4679_bfad_06b8192758f6,Thomas Killeen,Thomas Killeen,Two Day,Older Ball,2,96,2,61,62,7,7,16.0,30.5,3.8125,48.0,64.58333333333333,7.291666666666667
raw_666735b4_5419_4b5d_8e42_de32f0d6ba42,Thomas Price,Thomas Price,One Day,Opening,1,21,0,24,10,4,4,3.3,,6.857142857142857,,47.61904761904762,19.047619047619047
raw_666735b4_5419_4b5d_8e42_de32f0d6ba42,Thomas Price,Thomas Price,One Day,Middle,2,19,1,17,10,2,4,3.1,17.0,5.368421052631579,19.0,52.63157894736842,10.526315789473685
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,One Day,Opening,1,108,8,74,79,12,6,18.0,9.25,4.111111111111111,13.5,73.14814814814815,11.11111111111111
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,One Day,Middle,2,6,0,7,3,1,1,1.0,,7.0,,50.0,16.666666666666668
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,One Day,Death,3,5,0,7,2,1,1,0.5,,8.4,,40.0,20.0
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,T20,Opening,1,15,1,12,8,1,3,2.3,12.0,4.8,15.0,53.333333333333336,6.666666666666667
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,Two Day,New Ball,1,168,4,95,120,12,7,28.0,23.75,3.392857142857143,42.0,71.42857142857143,7.142857142857143
raw_6fed8c0f_7c23_4c3e_8ed1_74fa21371acb,Thomas Webb,Thomas Webb,Two Day,Older Ball,2,48,1,30,31,4,3,8.0,30.0,3.75,48.0,64.58333333333333,8.333333333333334
raw_4b31dee5_3d89_4dfa_beb6_2532431a97e3,Toby Lafford,Toby Lafford,One Day,Opening,1,30,0,27,18,4,2,5.0,,5.4,,60.0,13.333333333333334
raw_4b31dee5_3d89_4dfa_beb6_2532431a97e3,Toby Lafford,Toby Lafford,One Day,Middle,2,24,2,25,15,5,2,4.0,12.5,6.25,12.0,62.5,20.833333333333332
raw_392c4117_e265_42d7_87c4_579d7f0cc123,Tom Burgess,Tom Burgess,One Day,Opening,1,6,0,5,4,1,1,1.0,,5.0,,66.66666666666667,16.666666666666668
raw_392c4117_e265_42d7_87c4_579d7f0cc123,Tom Burgess,Tom Burgess,One Day,Middle,2,5,0,10,2,2,1,0.5,,12.0,,40.0,40.0
raw_152b091c_db50_4de4_9ae9_e6a513397cad,Tom Weir,Tom Weir,One Day,Middle,2,18,0,24,8,4,2,3.0,,8.0,,44.44444444444444,22.22222222222222
raw_91908618_57c4_455d_951f_65ef1f25bd3c,Tom Weir,Tom Weir,One Day,Middle,2,12,0,5,10,1,1,2.0,,2.5,,83.33333333333333,8.333333333333334
raw_152b091c_db50_4de4_9ae9_e6a513397cad,Tom Weir,Tom Weir,One Day,Death,3,6,0,5,2,0,1,1.0,,5.0,,33.333333333333336,0.0
raw_f2ed3751_b210_47b8_8256_144a016a06e8,Tristan Sterjovski,Tristan Sterjovski,One Day,Opening,1,48,0,34,29,3,6,8.0,,4.25,,60.416666666666664,6.25
raw_f2ed3751_b210_47b8_8256_144a016a06e8,Tristan Sterjovski,Tristan Sterjovski,One Day,Middle,2,125,7,100,77,11,11,20.5,14.285714285714286,4.8,17.857142857142858,61.6,8.8
raw_f2ed3751_b210_47b8_8256_144a016a06e8,Tristan Sterjovski,Tristan Sterjovski,Two Day,Older Ball,2,23,0,10,19,2,1,3.5,,2.608695652173913,,82.6086956521739,8.695652173913043
raw_6ff0b212_6471_471a_b69d_0fa4afd8fe86,Tyler Hammon,Tyler Hammon,One Day,Opening,1,54,0,42,28,4,10,9.0,,4.666666666666667,,51.851851851851855,7.407407407407407
