match_id,innings_id,batting_team_id,partnership_number,batter_1_participant_id,batter_1_name,batter_2_participant_id,batter_2_name,start_score,end_score,runs,balls,source,wicket_ending_participant_id,dismissal_type
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,1,dcbfab3f-24d3-4add-be5d-6946adb5d18b,K Bhan,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,H Kumar,0-0,1-0,0,3,ball_by_ball,dcbfab3f-24d3-4add-be5d-6946adb5d18b,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,2,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,H Kumar,1-0,2-11,11,47,ball_by_ball,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,3,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,S Bhan,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,2-11,3-36,25,57,ball_by_ball,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,4,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,3-36,4-38,2,11,ball_by_ball,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,5,54d16991-caa8-47b8-b59b-a67740c0df8d,K Patel,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,4-38,5-51,13,38,ball_by_ball,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6,54d16991-caa8-47b8-b59b-a67740c0df8d,K Patel,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,5-51,6-87,36,38,ball_by_ball,54d16991-caa8-47b8-b59b-a67740c0df8d,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,7,7b43011a-eb05-448f-93c9-644481721a69,J Mendiz,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,6-87,7-112,25,23,ball_by_ball,7b43011a-eb05-448f-93c9-644481721a69,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,8,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,S Shrestha,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,7-112,8-147,35,33,ball_by_ball,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,9,722ca954-11e3-4053-8a81-ad7f435339d5,B Viswanathan,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,8-147,9-185,38,38,ball_by_ball,722ca954-11e3-4053-8a81-ad7f435339d5,LBW
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,10,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,d7f93a87-6b05-4830-a524-41457fd00603,S Vikash,9-185,10-192,7,16,ball_by_ball,d7f93a87-6b05-4830-a524-41457fd00603,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,1,e4e20dbb-d6c4-4283-be99-93a2565de142,D Wilson,adfe978e-fcf2-459c-a8e0-62bf7e166716,D Patel,0-0,1-93,93,90,ball_by_ball,adfe978e-fcf2-459c-a8e0-62bf7e166716,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,2,e4e20dbb-d6c4-4283-be99-93a2565de142,D Wilson,85f787ea-08da-4232-9d7b-59cbe102533d,Z Wilkes,1-93,2-135,42,65,ball_by_ball,e4e20dbb-d6c4-4283-be99-93a2565de142,LBW
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,3,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,85f787ea-08da-4232-9d7b-59cbe102533d,Z Wilkes,2-135,3-154,19,27,ball_by_ball,85f787ea-08da-4232-9d7b-59cbe102533d,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,4,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,B Gillett,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,3-154,4-164,10,41,ball_by_ball,d67d6bf8-7d9f-460d-8add-7b4ba5136916,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,5,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,B Gillett,4-164,5-168,4,11,ball_by_ball,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,6,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,d7ef8088-f5e7-4fa0-acf7-a71031d6acf7,T Volitakis,5-168,5-194,26,18,ball_by_ball,,
