player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
bailey_bennett,bailey_bennett,Bailey Bennett,Bailey Bennett,2,0,0,3/31,3,31
raw_41e47208_85f9_49e9_9cf6_8383ae3449e5,raw_41e47208_85f9_49e9_9cf6_8383ae3449e5,Bailey Calderbank,Bailey Calderbank,0,0,0,2/23,2,23
raw_89724b78_02be_4083_b87d_91602f50cb8d,raw_89724b78_02be_4083_b87d_91602f50cb8d,Bailey Doe,Bailey Doe,1,0,0,3/8,3,8
bailey_hague,bailey_hague,Bailey Hague,Bailey Hague,0,0,0,1/3,1,3
raw_70a28d55_fe99_46e3_8dd0_292f7ef1a996,raw_70a28d55_fe99_46e3_8dd0_292f7ef1a996,Bailey Jacobs,Bailey Jacobs,0,0,0,2/9,2,9
raw_af3c25ef_c848_4da9_849f_d94e6add45bb,raw_af3c25ef_c848_4da9_849f_d94e6add45bb,Bailey Sanderson,Bailey Sanderson,1,0,0,3/10,3,10
raw_5448d408_ce67_469a_a8c8_a846242178cf,raw_5448d408_ce67_469a_a8c8_a846242178cf,Bailey Warren,Bailey Warren,0,0,0,2/19,2,19
raw_fafe27de_3436_4138_98e3_9ba221548c71,raw_fafe27de_3436_4138_98e3_9ba221548c71,Bailey Winter,Bailey Winter,1,0,0,3/9,3,9
raw_ab5d023e_c869_4c8e_93cc_a470fbc4f572,raw_ab5d023e_c869_4c8e_93cc_a470fbc4f572,Bailey Worrall,Bailey Worrall,0,1,0,5/49,5,49
raw_d364a423_f9cf_4500_8916_9b08e1ecaa05,raw_d364a423_f9cf_4500_8916_9b08e1ecaa05,Ben Evans,Ben Evans,0,0,0,0/26,0,26
raw_37a2fcbe_8fe9_473b_9361_c72736e3038b,raw_37a2fcbe_8fe9_473b_9361_c72736e3038b,Ben Kennedy,Ben Kennedy,0,0,0,2/2,2,2
raw_1fc65471_b264_45ac_a87b_81600938de81,raw_1fc65471_b264_45ac_a87b_81600938de81,Ben Lockett,Ben Lockett,0,0,0,2/16,2,16
