canonical_player_id,canonical_player_name,display_player_name,premiership_count,seasons,grades,teams,latest_premiership_season,evidence_match_ids,confidence
raw_93f017a1_d17a_48dd_ad55_3dbd2a01b2c1,Nathan Dean,Nathan Dean,1,Summer 2008/09,Third Grade,Georges River,Summer 2008/09,e5c28182-4336-4add-a05e-bcd489c59ab1,high
raw_9e5adfe2_0f25_4cb0_be8a_dcbcb51465b5,Patrick Duffy,Patrick Duffy,1,Summer 2008/09,Third Grade,Georges River,Summer 2008/09,e5c28182-4336-4add-a05e-bcd489c59ab1,high
raw_f58d3168_8352_48b1_b83c_2f4685a56b9c,Paul Thomas,Paul Thomas,1,Summer 2008/09,Third Grade,Georges River,Summer 2008/09,e5c28182-4336-4add-a05e-bcd489c59ab1,high
raw_173bce75_a15b_48ac_92d9_ed935fc455bb,Ramy Ykmour,Ramy Ykmour,1,Summer 2008/09,Tim Creer Cup,Georges River,Summer 2008/09,15437118-390d-4a2d-a433-7a301e4f09ba,high
raw_725cc6ba_6c0a_47ee_9d72_a352df4aa3bc,Raymond Buchanan,Raymond Buchanan,1,Summer 2008/09,Third Grade,Georges River,Summer 2008/09,e5c28182-4336-4add-a05e-bcd489c59ab1,high
raw_0ab6fb09_3473_4448_9def_4f1ec16bd19d,Sam Harris,Sam Harris,1,Summer 2008/09,Tim Creer Cup,Georges River,Summer 2008/09,15437118-390d-4a2d-a433-7a301e4f09ba,high
raw_030cccd1_9611_40f8_a8a9_b1fe59617293,Samad Shaikh,Samad Shaikh,1,Summer 2008/09,Tim Creer Cup,Georges River,Summer 2008/09,15437118-390d-4a2d-a433-7a301e4f09ba,high
raw_ee99ece4_01b2_48d8_ab4c_99ada9d48d5e,Scott Woods,Scott Woods,1,Summer 2008/09,Tim Creer Cup,Georges River,Summer 2008/09,15437118-390d-4a2d-a433-7a301e4f09ba,high
raw_1ed58d14_2206_4c6c_bec3_c0dcc9c9e69b,Stephen Borwick,Stephen Borwick,1,Summer 2008/09,Third Grade,Georges River,Summer 2008/09,e5c28182-4336-4add-a05e-bcd489c59ab1,high
raw_6fcea4d0_37e4_4358_a449_e7639a963fbb,Thomas Eden,Thomas Eden,1,Summer 2008/09,Tim Creer Cup,Georges River,Summer 2008/09,15437118-390d-4a2d-a433-7a301e4f09ba,high
