player_id,player_name,canonical_player_name,match_id,innings_id,participant_id,match_date,season,team_name,grade_name,opposition_team,venue_name,match_type,final_runs,final_balls,final_score_display,balls_to_25,balls_to_50,balls_to_100,balls_to_150,team_runs,team_run_contribution_pct,result_text,is_not_out,runs_source_used,balls_faced_source_used,source_ball_by_ball_available
d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,Armaan Datta,f459fe09-0bb0-4771-bf96-3a911e125138,f591b1a8-4537-43a3-91ce-9e39427ada45,d1ed36b2-499d-4b65-95a3-6f3f51177415,2026-06-20,Winter 2026,Fiji Victorian CC Winter XI,North Division,Grand United Yellow Cricket Club,T.W. Blake Park,One Day,54,43,54*,31,45.0,,,167.0,32.33532934131737,Fiji Victorian CC Winter XI won by 7 wickets,True,derived_runs_bat,derived_legal_balls,True
ashish_sharma,Ashish Sharma,Ashish Sharma,f459fe09-0bb0-4771-bf96-3a911e125138,f591b1a8-4537-43a3-91ce-9e39427ada45,1213eb90-9ab2-42db-b52a-865b0dfa7ea3,2026-06-20,Winter 2026,Fiji Victorian CC Winter XI,North Division,Grand United Yellow Cricket Club,T.W. Blake Park,One Day,25,26,25,24,,,,167.0,14.970059880239521,Fiji Victorian CC Winter XI won by 7 wickets,False,derived_runs_bat,source_cumulative_validated,True
f6dd9552-fbc5-4490-ac27-b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,f459fe09-0bb0-4771-bf96-3a911e125138,f591b1a8-4537-43a3-91ce-9e39427ada45,f6dd9552-fbc5-4490-ac27-b50ff948f8f5,2026-06-20,Winter 2026,Fiji Victorian CC Winter XI,North Division,Grand United Yellow Cricket Club,T.W. Blake Park,One Day,48,69,48,32,,,,167.0,28.74251497005988,Fiji Victorian CC Winter XI won by 7 wickets,False,derived_runs_bat,derived_legal_balls,True
7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,Jai Bhan,a088e0e5-185e-4eb1-82ab-fa5da4845815,68ee0584-643d-4eb1-adc0-49ccc494dce2,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,2026-05-30,Winter 2026,Fiji Victorian CC Winter XI,North Division,Fairfield Senior Mixed Cricket Club,T.W. Blake Park,One Day,30,24,30,18,,,,253.0,11.857707509881424,Fiji Victorian CC Winter XI won by 153 runs,False,derived_runs_bat,source_cumulative_validated,True
janaka_wijayakoon,Janaka Wijayakoon,Janaka Wijayakoon,a088e0e5-185e-4eb1-82ab-fa5da4845815,68ee0584-643d-4eb1-adc0-49ccc494dce2,b526b847-27fe-48ee-adb2-e5a6a8941340,2026-05-30,Winter 2026,Fiji Victorian CC Winter XI,North Division,Fairfield Senior Mixed Cricket Club,T.W. Blake Park,One Day,39,21,39,12,,,,253.0,15.41501976284585,Fiji Victorian CC Winter XI won by 153 runs,False,source_cumulative_validated,source_cumulative_validated,True
7512873c-b6b6-49fe-80ff-3733b5abd044,Mohaneesh Pitre,Mohaneesh Pitre,a088e0e5-185e-4eb1-82ab-fa5da4845815,68ee0584-643d-4eb1-adc0-49ccc494dce2,7512873c-b6b6-49fe-80ff-3733b5abd044,2026-05-30,Winter 2026,Fiji Victorian CC Winter XI,North Division,Fairfield Senior Mixed Cricket Club,T.W. Blake Park,One Day,25,29,25,28,,,,253.0,9.881422924901186,Fiji Victorian CC Winter XI won by 153 runs,False,derived_runs_bat,source_cumulative_validated,True
d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,Armaan Datta,ea5b3501-a238-4319-a130-26a2ede25abc,ff53ed41-3c46-484f-a741-cdece3ff9941,d1ed36b2-499d-4b65-95a3-6f3f51177415,2026-05-23,Winter 2026,Fiji Victorian CC Winter XI,North Division,Darebin Chargers Cricket Club,Edgars Creek Secondary College,One Day,52,25,52*,12,25.0,,,152.0,34.21052631578947,Fiji Victorian CC Winter XI won by 3 wickets,True,derived_runs_bat,source_cumulative_validated,True
7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,Jai Bhan,ea5b3501-a238-4319-a130-26a2ede25abc,ff53ed41-3c46-484f-a741-cdece3ff9941,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,2026-05-23,Winter 2026,Fiji Victorian CC Winter XI,North Division,Darebin Chargers Cricket Club,Edgars Creek Secondary College,One Day,51,41,51*,25,41.0,,,152.0,33.55263157894737,Fiji Victorian CC Winter XI won by 3 wickets,True,derived_runs_bat,source_cumulative_validated,True
c3a31191-6c5e-438e-9288-354845031832,Abcin Thomas,Abcin Thomas,dac33336-ad59-4e6d-8495-abb225a45277,f20ed77f-18d2-4c00-9d79-82352baa1212,c3a31191-6c5e-438e-9288-354845031832,2026-05-09,Winter 2026,Fiji Victorian CC Winter XI,North Division,North Alphington Cricket Club,T.W. Blake Park,One Day,36,44,36,30,,,,241.0,14.937759336099585,Fiji Victorian CC Winter XI won by 64 runs,False,source_cumulative_validated,derived_legal_balls,True
d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,Armaan Datta,dac33336-ad59-4e6d-8495-abb225a45277,f20ed77f-18d2-4c00-9d79-82352baa1212,d1ed36b2-499d-4b65-95a3-6f3f51177415,2026-05-09,Winter 2026,Fiji Victorian CC Winter XI,North Division,North Alphington Cricket Club,T.W. Blake Park,One Day,35,13,35,9,,,,241.0,14.522821576763485,Fiji Victorian CC Winter XI won by 64 runs,False,derived_runs_bat,source_cumulative_validated,True
